Environment,Host,Mount,WE 01.05,WE 01.12,WE 01.19,WE 01.26,WE 02.02,WE 02.14,WE 02.23,WE 03.01,WE 03.08,WE 03.15,WE 03.22,WE 03.29,WE 04.05,WE 04.12,WE 04.19,WE 04.26,WE 05.03,WE 05.10,WE 05.17,WE 05.24,WE 05.31,WE 06.07,WE 06.14,WE 06.21,WE 06.28,WE 07.05,WE 07.12,WE 07.19,WE 07.26,WE 08.02,WE 08.09,WE 08.16,WE 08.23,WE 08.31,WE 09.06,WE 09.13,WE 09.20,WE 09.27,WE 10.04,WE 10.11,WE 10.18,WE 10.25,WE 11.03,WE 11.08,WE 11.15,WE 11.22,WE 11.30,WE 12.09,WE 12.13,WE 12.20,WE 12.28,WE 01.04,WE 01.10,WE 01.17,WE 01.24,WE 01.28
STG2,dpastgma,/appl/sashome,13.00%,,,13.00%,13.00%,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
STG2,dpastgma,/appl/saslogs,1.00%,,,1.00%,1.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
STG2,dpastgma,/dev,0.00%,,,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
STG2,dpastgma,/work,15.00%,,,16.00%,12.00%,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,1,1,1,1,
STG2,dpastgmo,/,29.00%,,,23.00%,23.00%,24,18,19,19,21,21,22,22,24,25,25,29,33,35,38,39,40,41,42,46,46,48,50,51,52,52,56,66,65,64,70,78,50,59,60,61,61,65,62,61,62,65,61,65,66,68,68,67,68,69,
STG2,dpastgmo,/appl/depot,1.00%,,,1.00%,1.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
STG2,dpastgmo,/appl/di_shareddata,1.00%,,,1.00%,1.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
STG2,dpastgmo,/appl/sasbackup,1.00%,,,1.00%,1.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
STG2,dpastgmo,/appl/sasconfig,1.00%,,,1.00%,1.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
STG2,dpastgmo,/appl/sasdata,1.00%,,,1.00%,1.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
